organism,taxlevel,Min,Max,Mean,Se,top,metrics,iteration_count
Attheya,genus,2.7260800944224,4.63159672834556,3.66638850629187,0.572122775804454,1,phi,15
Attheya,genus,2.03310227539181,3.798982740762,2.99468312715144,0.50463011444573,2,phi,15
Attheya,genus,1.73938335526447,3.21824659693457,2.52963375513449,0.445178669722922,3,phi,15
Attheya,genus,1.6577282747438,2.93389630592687,2.37677811762963,0.425768252720788,4,phi,15
Attheya,genus,1.54029583398572,2.84493087271868,2.1250883272603,0.369572042752274,5,phi,15
Attheya,genus,1.52435394220074,2.45982066674537,1.88932186111727,0.260091380425136,6,phi,15
Attheya,genus,1.08007485683538,2.22181854431522,1.65803586318505,0.31582712974553,7,phi,15
Attheya,taxogroup_middle,2.33018302996,5.63014174460787,3.60687095246987,0.687038880562988,1,phi,132
Attheya,taxogroup_middle,2.18961247914333,5.0191414697063,3.03258364603111,0.481606845326502,2,phi,132
Attheya,taxogroup_middle,1.89186055991591,3.83991836562079,2.69381618930788,0.405745226839086,3,phi,132
Attheya,taxogroup_middle,1.47135932971693,3.47659456204293,2.42623843212011,0.346905439992603,4,phi,132
Attheya,taxogroup_middle,1.46913702002358,3.28188499473664,2.23344219862459,0.300994682087119,5,phi,132
Attheya,taxogroup_middle,1.44703067573685,2.97789048135355,2.05714733616756,0.275524974400136,6,phi,132
Attheya,taxogroup_middle,1.35545728262449,2.54952113851077,1.88617232459961,0.256778856897898,7,phi,132
Attheya,taxogroup_middle,1.18824324824042,2.2175542729819,1.67259660554708,0.250380387552274,8,phi,132
Attheya,taxogroup_middle,1.07529224282762,2.00715804356609,1.44754629994389,0.209628774821027,9,phi,132
Aureococcus,genus,1.27956122242671,3.710686151497,1.74277526964154,0.381565858801726,1,phi,132
Aureococcus,genus,1.14573017568064,1.93830634096687,1.31533623109507,0.152559436947694,10,phi,132
Aureococcus,genus,1.25507958260176,2.83949379054918,1.60804322025767,0.297591871931711,2,phi,132
Aureococcus,genus,1.20859529667013,2.58868785879205,1.53310695411422,0.260938472169582,3,phi,132
Aureococcus,genus,1.20505226839103,2.43156235202399,1.48224788461358,0.234004991631201,4,phi,132
Aureococcus,genus,1.19626283049686,2.25763615351026,1.44789471864058,0.216042023046279,5,phi,132
Aureococcus,genus,1.18278776923797,2.25676540796226,1.4167298505132,0.203047110084264,6,phi,132
Aureococcus,genus,1.17293925211566,2.02154953629001,1.38869254903417,0.186913231422147,7,phi,132
Aureococcus,genus,1.162588043382,1.96014221907815,1.36460481688188,0.17494248395066,8,phi,132
Aureococcus,genus,1.157233579959,1.94441721122491,1.33826371887158,0.163350885223203,9,phi,132
Aureococcus,taxogroup_middle,1.25933806010482,3.4030976299357,1.70136253240752,0.357999394001836,1,phi,132
Aureococcus,taxogroup_middle,1.10880079080266,1.77283420680729,1.26579664584145,0.132441489798806,10,phi,132
