organism,taxlevel,Min,Max,Mean,Se,top,metrics,iteration_count
Attheya,genus,0.313547331495672,0.532715380486474,0.421699397140343,0.0658042183017337,1,vlr,15
Attheya,genus,0.233842649895415,0.436950074651573,0.344441421627561,0.0580413708682094,2,vlr,15
Attheya,genus,0.200059789368264,0.370155166984433,0.290952534816057,0.0512034052909917,3,vlr,15
Attheya,genus,0.190668013736761,0.337449864180638,0.273371438302503,0.048970864703982,4,vlr,15
Attheya,genus,0.177161210137684,0.32721726894807,0.244422669593736,0.0425073085847581,5,vlr,15
Attheya,genus,0.175327611176889,0.282922797313969,0.217305364248761,0.029915099869656,6,vlr,15
Attheya,genus,0.124227673966438,0.255548352032276,0.190703391837042,0.0363256948863162,7,vlr,15
Attheya,taxogroup_middle,0.268012180726208,0.647565683626114,0.414558366593173,0.0792517201031216,1,vlr,131
Attheya,taxogroup_middle,0.251844086037566,0.577289866664433,0.348868147897223,0.0556004820811186,2,vlr,131
Attheya,taxogroup_middle,0.217597359423595,0.441658394104051,0.309707218680534,0.0468233091568443,3,vlr,131
Attheya,taxogroup_middle,0.169232295282855,0.399869743317973,0.278872776881788,0.0399950172885463,4,vlr,131
Attheya,taxogroup_middle,0.168976690440013,0.377474706073663,0.256871158527983,0.0347522177031104,5,vlr,131
Attheya,taxogroup_middle,0.166434070626893,0.342509970937812,0.236559819775801,0.0318069823698398,6,vlr,131
Attheya,taxogroup_middle,0.155901513969761,0.293239934955482,0.216833542140765,0.0296205321957218,7,vlr,131
Attheya,taxogroup_middle,0.136668948361355,0.255057885556228,0.192427738838264,0.0289030527775679,8,vlr,131
Attheya,taxogroup_middle,0.12367758893307,0.230858605269103,0.166558122471113,0.0241920446364402,9,vlr,131
Aureococcus,genus,0.439003408094068,1.37850093605574,0.920230593779047,0.178961304697856,1,vlr,131
Aureococcus,genus,0.355543936828568,0.948350667335791,0.711245209770132,0.161703271959649,10,vlr,131
Aureococcus,genus,0.42713967825351,1.19033350120241,0.854667326286123,0.169649939688231,2,vlr,131
Aureococcus,genus,0.393909129717764,1.12760708490758,0.81789101663569,0.16766999635295,3,vlr,131
Aureococcus,genus,0.387730196365166,1.07760669390149,0.793264130610965,0.165932558661303,4,vlr,131
Aureococcus,genus,0.386637272371174,1.02880957524963,0.776449202709279,0.165034083597807,5,vlr,131
Aureococcus,genus,0.382172724697401,1.01159889793491,0.760826949977346,0.16364014186362,6,vlr,131
Aureococcus,genus,0.374879279791049,0.987709216339956,0.747312308093309,0.163185469012366,7,vlr,131
Aureococcus,genus,0.372157077605193,0.972087313494055,0.735484453007957,0.162576262931504,8,vlr,131
Aureococcus,genus,0.358511384282295,0.96483357798874,0.72252924567838,0.162230880618775,9,vlr,131
Aureococcus,taxogroup_middle,0.422768632600417,1.34175388476177,0.899780791806719,0.179091211409775,1,vlr,131
Aureococcus,taxogroup_middle,0.325140957413142,0.929737018744854,0.686839793884162,0.162319444848448,10,vlr,131
Aureococcus,taxogroup_middle,0.412014158436818,1.2569185969176,0.836500945133636,0.170464618724463,2,vlr,131
Aureococcus,taxogroup_middle,0.400524869119515,1.13945766167212,0.803550066359944,0.166856632221049,3,vlr,131
Aureococcus,taxogroup_middle,0.389039695436637,1.06460439691639,0.77647632323413,0.164557646865043,4,vlr,131
Aureococcus,taxogroup_middle,0.356124802971797,1.0462806662681,0.757276101305195,0.16449024861727,5,vlr,131
Aureococcus,taxogroup_middle,0.355912691216073,1.00309637941632,0.740960516022326,0.163766895928769,6,vlr,131
Aureococcus,taxogroup_middle,0.347302762146873,0.984167804959957,0.725854607945014,0.163026721890454,7,vlr,131
Aureococcus,taxogroup_middle,0.338906102189317,0.950338919240056,0.712439457890827,0.16253523786553,8,vlr,131
Aureococcus,taxogroup_middle,0.33616076003854,0.942308966936096,0.698763534744628,0.162061907001439,9,vlr,131
Bathycoccus,genus,0.632065016527526,1.3244410305713,0.91355005810424,0.110789630841971,1,vlr,131
