organism,taxlevel,Min,Max,Mean,Se,top,metrics,iteration_count,matchtype
Attheya,genus,0.00190622253966422,0.00816532666645398,0.00421883149984477,0.00122445733988524,10,rho,42,"Only SMAG, not V9"
Attheya,genus,0.0998134555400351,0.162613049434894,0.138681882641519,0.0138926731081285,1,rho,42,Both
Attheya,genus,0.00625282239134373,0.0499633485866174,0.0242221936610492,0.0115075585445473,2,rho,42,"Only SMAG, not V9"
Attheya,genus,0.00528885658302158,0.0271044378310628,0.0152053140563108,0.00614122182275656,3,rho,42,"Only SMAG, not V9"
Attheya,genus,0.00377440067361334,0.0222775999347872,0.0101353694288485,0.00473032281131737,4,rho,42,"Only SMAG, not V9"
Attheya,genus,0.00354061520152538,0.0177557636736188,0.00806826056577606,0.00368610109799014,5,rho,42,"Only SMAG, not V9"
Attheya,genus,0.00340040169884714,0.01441293707636,0.00674413000209011,0.00271348242301194,6,rho,42,"Only SMAG, not V9"
Attheya,genus,0.00307418308078444,0.0121421091966243,0.00585759204791066,0.00206505678962952,7,rho,42,"Only SMAG, not V9"
Attheya,genus,0.00248194579392647,0.0113421015966121,0.00512912754697398,0.00175960551605344,8,rho,42,"Only SMAG, not V9"
Attheya,genus,0.00209171106782169,0.00996963771773296,0.00459114389225564,0.00140119326178951,9,rho,42,"Only SMAG, not V9"
Attheya,taxogroup_middle,0.00423384685987127,0.0158709764127338,0.00731056146840136,0.00265230729021984,10,rho,42,"Only SMAG, not V9"
Attheya,taxogroup_middle,0.0998134555400351,0.162613049434894,0.138681882641519,0.0138926731081285,1,rho,42,Both
Attheya,taxogroup_middle,0.0123617254466595,0.0499633485866174,0.0304736591674161,0.0107194672946504,2,rho,42,"Only SMAG, not V9"
Attheya,taxogroup_middle,0.0071665867802434,0.0393434884758875,0.0208561098821818,0.00824212303823821,3,rho,42,"Only SMAG, not V9"
Attheya,taxogroup_middle,0.0067304617816768,0.0282783329903342,0.016564115786006,0.00577580602911256,4,rho,42,"Only SMAG, not V9"
Attheya,taxogroup_middle,0.0053912788375502,0.0230717770445525,0.0141772041849616,0.0053027239425739,5,rho,42,"Only SMAG, not V9"
Attheya,taxogroup_middle,0.0050367284052566,0.0220510494182806,0.0119009016828875,0.00455532032711536,6,rho,42,"Only SMAG, not V9"
Attheya,taxogroup_middle,0.0050307763854347,0.020126861297485,0.00983351134622002,0.00403311998183487,7,rho,42,"Only SMAG, not V9"
Attheya,taxogroup_middle,0.00480580754854254,0.0183656360372282,0.00895311280661193,0.00374008729050429,8,rho,42,"Only SMAG, not V9"
Attheya,taxogroup_middle,0.00449735516574823,0.0171860186122633,0.00816780521005495,0.00321981326959213,9,rho,42,"Only SMAG, not V9"
Aureococcus,genus,-0.0726820402776092,-0.00186676434760091,-0.0163569649207954,0.0164231503229344,10,rho,14,None.
Aureococcus,genus,-0.0269074453754534,-0.00251422220081299,-0.0124627326690085,0.00931185845386644,10,rho,14,"Only SMAG, not V9"
Aureococcus,genus,-0.0563287842530027,-0.00411019451778727,-0.0219155649566149,0.0127612641536937,10,rho,11,"Only V9, not SMAG"
Aureococcus,genus,0.0998134555400351,0.162613049434894,0.137972838871637,0.0138989095906525,1,rho,46,Both
Aureococcus,genus,0.000109562740052804,0.0709649252810115,0.0195896178123382,0.0155938528337034,1,rho,46,None.
Aureococcus,genus,0.00237192344550341,0.056588880687706,0.022050824346614,0.0113486068039978,1,rho,35,"Only V9, not SMAG"
Aureococcus,genus,-0.00146214807791223,0.050331084416001,0.00911025145716399,0.00891068816908473,2,rho,46,None.
Aureococcus,genus,0.00180654880182241,0.0406842761070331,0.0112805862318288,0.0089377271617041,2,rho,46,"Only SMAG, not V9"
Aureococcus,genus,-0.00136562198006618,0.0349237084114985,0.0113752768949946,0.0090537717589181,2,rho,23,"Only V9, not SMAG"
Aureococcus,genus,-0.00379536522677348,0.0449328019650969,0.00447523884687639,0.00563232073114703,3,rho,46,None.
Aureococcus,genus,0.000516109226599393,0.016091499483126,0.00443790290860598,0.00332425754424436,3,rho,46,"Only SMAG, not V9"
Aureococcus,genus,0.00101141313694786,0.0185117216162016,0.00687115570089155,0.00561230423600169,3,rho,11,"Only V9, not SMAG"
Aureococcus,genus,-0.0111145764615739,0.0121055619922748,0.00168291780056661,0.00323941121473499,4,rho,46,None.
Aureococcus,genus,-0.000849503677597951,0.0151002394460932,0.00280847623984406,0.00257239805335247,4,rho,46,"Only SMAG, not V9"
Aureococcus,genus,-0.0178639365514313,0.03019504872176,0.00637208348672799,0.011618195949916,4,rho,10,"Only V9, not SMAG"
Aureococcus,genus,-0.0286726901851231,0.0107418813607103,-0.000183997435075552,0.00380979829869648,5,rho,46,None.
Aureococcus,genus,-0.00663175561515761,0.00703677497747246,0.00152539155814802,0.00215476103161819,5,rho,46,"Only SMAG, not V9"
Aureococcus,genus,-0.0257279219353761,0.00617617963873773,-0.00164690723665938,0.00925354202600361,5,rho,8,"Only V9, not SMAG"
Aureococcus,genus,-0.0203378392930658,0.00589278174079233,-0.00187335913964743,0.00371026394922425,6,rho,45,None.
Aureococcus,genus,-0.00493511950116066,0.00312724335541981,-1.65428810163556e-06,0.00210687454358164,6,rho,45,"Only SMAG, not V9"
Aureococcus,genus,-0.00946715729390424,0.0072363139261109,-0.000946913031431796,0.00525785873539058,6,rho,6,"Only V9, not SMAG"
Aureococcus,genus,-0.0273122947436466,0.0055450745861908,-0.00393464926518059,0.00457681867829605,7,rho,44,None.
Aureococcus,genus,-0.0139942382272433,0.00267332261556685,-0.00169423860907116,0.00334018939953756,7,rho,44,"Only SMAG, not V9"
Aureococcus,genus,-0.0244662071719985,0.000300328836173702,-0.0114807599657538,0.00860762200126749,7,rho,13,"Only V9, not SMAG"
Aureococcus,genus,-0.0474736598639176,0.00387110307548233,-0.00766791673829589,0.00800527343441268,8,rho,42,None.
Aureococcus,genus,-0.0216460521136077,0.0012123563904145,-0.00447406970034139,0.00530144269086813,8,rho,42,"Only SMAG, not V9"
Aureococcus,genus,-0.0582224427577325,-0.000828474925989031,-0.0133930629569762,0.0114809516705644,8,rho,22,"Only V9, not SMAG"
Aureococcus,genus,-0.05744020045626,0.00146281781278423,-0.0113483244008056,0.00919332571037813,9,rho,32,None.
Aureococcus,genus,-0.0292244526925043,-0.000844478850301256,-0.00805397618637297,0.00767043247373121,9,rho,32,"Only SMAG, not V9"
Aureococcus,genus,-0.046252043452355,-0.00323035145692785,-0.0211389697114137,0.0109683899606092,9,rho,14,"Only V9, not SMAG"
Aureococcus,taxogroup_middle,0.00175925573527724,0.0418948246084435,0.00932501457173833,0.00540885758784012,10,rho,46,None.
Aureococcus,taxogroup_middle,0.00326761324706515,0.0116067971118006,0.00514988430400533,0.00157973092166571,10,rho,46,"Only SMAG, not V9"
Aureococcus,taxogroup_middle,0.0169462950175829,0.0169462950175829,0.0169462950175829,,10,rho,1,"Only V9, not SMAG"
Aureococcus,taxogroup_middle,0.0998134555400351,0.162613049434894,0.137972838871637,0.0138989095906525,1,rho,46,Both
Aureococcus,taxogroup_middle,0.00858085724614332,0.0978781498324624,0.0413108669849219,0.0178343412084097,1,rho,46,None.
Aureococcus,taxogroup_middle,0.0165446859532621,0.056588880687706,0.0336982074392211,0.0110621384571287,1,rho,11,"Only V9, not SMAG"
Aureococcus,taxogroup_middle,0.0074763364654622,0.0709649252810115,0.0292586034018974,0.0125156522393729,2,rho,46,None.
