orgtaxlvltop,md5sum,SMAG,rho,tops,organism,taxlevel,metrics,taxogroup,fSMAG,taxlfSMAG,SMAG_md5sum,stcount,Min,Max,Mean,Se,iteration_count,md5sum_SMAG,if.matches,if.matches_no_na,if.matches_text
10Aureococcustaxogroup_middle,f493352a4f196f99ab7552dfb7060dc092623962,TARA_AON_82_MAG_00274,0.729322107751468,10,Aureococcus,taxogroup_middle,phs,Pelagomonadales,TARA_AON_82_MAG_00274phs,TARA_AON_82_MAG_00274phstaxogroup_middle,TARA_AON_82_MAG_00274f493352a4f196f99ab7552dfb7060dc092623962,10,0.943243143097313,1.04004884126451,1.0158674418831,0.0126522963359334,132,f493352a4f196f99ab7552dfb7060dc092623962TARA_AON_82_MAG_00274,,Unknown,
10Aureococcustaxogroup_middle,f493352a4f196f99ab7552dfb7060dc092623962,TARA_IOS_50_MAG_00124,0.722549103801311,10,Aureococcus,taxogroup_middle,phs,Pelagomonadales,TARA_IOS_50_MAG_00124phs,TARA_IOS_50_MAG_00124phstaxogroup_middle,TARA_IOS_50_MAG_00124f493352a4f196f99ab7552dfb7060dc092623962,13,0.943243143097313,1.04004884126451,1.0158674418831,0.0126522963359334,132,f493352a4f196f99ab7552dfb7060dc092623962TARA_IOS_50_MAG_00124,,Unknown,
10Aureococcustaxogroup_middle,f493352a4f196f99ab7552dfb7060dc092623962,TARA_IOS_50_MAG_00127,0.738223726204205,10,Aureococcus,taxogroup_middle,phs,Pelagomonadales,TARA_IOS_50_MAG_00127phs,TARA_IOS_50_MAG_00127phstaxogroup_middle,TARA_IOS_50_MAG_00127f493352a4f196f99ab7552dfb7060dc092623962,10,0.943243143097313,1.04004884126451,1.0158674418831,0.0126522963359334,132,f493352a4f196f99ab7552dfb7060dc092623962TARA_IOS_50_MAG_00127,,Unknown,
10Aureococcustaxogroup_middle,f493352a4f196f99ab7552dfb7060dc092623962,TARA_PON_109_MAG_00221,0.698132921055835,10,Aureococcus,taxogroup_middle,phs,Pelagomonadales,TARA_PON_109_MAG_00221phs,TARA_PON_109_MAG_00221phstaxogroup_middle,TARA_PON_109_MAG_00221f493352a4f196f99ab7552dfb7060dc092623962,10,0.943243143097313,1.04004884126451,1.0158674418831,0.0126522963359334,132,f493352a4f196f99ab7552dfb7060dc092623962TARA_PON_109_MAG_00221,,Unknown,
10Aureococcustaxogroup_middle,f493352a4f196f99ab7552dfb7060dc092623962,TARA_AOS_82_MAG_00129,0.749517186855528,10,Aureococcus,taxogroup_middle,phs,Pelagomonadales,TARA_AOS_82_MAG_00129phs,TARA_AOS_82_MAG_00129phstaxogroup_middle,TARA_AOS_82_MAG_00129f493352a4f196f99ab7552dfb7060dc092623962,10,0.943243143097313,1.04004884126451,1.0158674418831,0.0126522963359334,132,f493352a4f196f99ab7552dfb7060dc092623962TARA_AOS_82_MAG_00129,,Unknown,
10Aureococcustaxogroup_middle,1d672d5c8bd1ae61f1110dd89c83296e52ed2c3a,TARA_PSW_86_MAG_00257,0.874533818024935,10,Aureococcus,taxogroup_middle,phs,Pelagomonadales,TARA_PSW_86_MAG_00257phs,TARA_PSW_86_MAG_00257phstaxogroup_middle,TARA_PSW_86_MAG_002571d672d5c8bd1ae61f1110dd89c83296e52ed2c3a,19,0.943243143097313,1.04004884126451,1.0158674418831,0.0126522963359334,132,1d672d5c8bd1ae61f1110dd89c83296e52ed2c3aTARA_PSW_86_MAG_00257,,Unknown,
10Cafeteriataxogroup_middle,9d2e1b9b435f7b54c4700b75c30da78559221f33,TARA_ION_45_MAG_00147,0.945905691768246,10,Cafeteria,taxogroup_middle,phs,core-bicosoecids,TARA_ION_45_MAG_00147phs,TARA_ION_45_MAG_00147phstaxogroup_middle,TARA_ION_45_MAG_001479d2e1b9b435f7b54c4700b75c30da78559221f33,8,0.980213504924924,1.02834026870986,1.00715448387174,0.00868259738601323,132,9d2e1b9b435f7b54c4700b75c30da78559221f33TARA_ION_45_MAG_00147,NO.,NO.,*
10Chaetocerosgenus,dca010651a0d3b181615782459ff2d8839c8abab,TARA_ARC_108_MAG_00189,1.07306603741967,10,Chaetoceros,genus,phs,g:Chaetoceros,TARA_ARC_108_MAG_00189phs,TARA_ARC_108_MAG_00189phsgenus,TARA_ARC_108_MAG_00189dca010651a0d3b181615782459ff2d8839c8abab,1,1.02215355876428,1.06212837434909,1.03657283363752,0.00510702478736111,132,dca010651a0d3b181615782459ff2d8839c8ababTARA_ARC_108_MAG_00189,,Unknown,
10Chaetocerosgenus,9b606bab60a86c1583dd79874dbd77b287c8bd0c,TARA_ARC_108_MAG_00116,1.15751422753711,10,Chaetoceros,genus,phs,g:Chaetoceros,TARA_ARC_108_MAG_00116phs,TARA_ARC_108_MAG_00116phsgenus,TARA_ARC_108_MAG_001169b606bab60a86c1583dd79874dbd77b287c8bd0c,1,1.02215355876428,1.06212837434909,1.03657283363752,0.00510702478736111,132,9b606bab60a86c1583dd79874dbd77b287c8bd0cTARA_ARC_108_MAG_00116,,Unknown,
10Chaetocerosgenus,2394adf633e3b612c62e6b2697d0212b13f425da,TARA_ARC_108_MAG_00267,1.08644084151277,10,Chaetoceros,genus,phs,g:Chaetoceros,TARA_ARC_108_MAG_00267phs,TARA_ARC_108_MAG_00267phsgenus,TARA_ARC_108_MAG_002672394adf633e3b612c62e6b2697d0212b13f425da,1,1.02215355876428,1.06212837434909,1.03657283363752,0.00510702478736111,132,2394adf633e3b612c62e6b2697d0212b13f425daTARA_ARC_108_MAG_00267,,Unknown,
