orgtaxlvltop,md5sum,SMAG,rho,tops,organism,taxlevel,metrics,taxogroup,fSMAG,taxlfSMAG,SMAG_md5sum,stcount,Min,Max,Mean,Se,iteration_count,md5sum_SMAG,if.matches,if.matches_no_na,if.matches_text
10Aureococcustaxogroup_middle,8ecc1508ec873f12aa2950550a08db1a78806bca,TARA_AON_82_MAG_00274,0.126773357157431,10,Aureococcus,taxogroup_middle,rho,Pelagomonadales,TARA_AON_82_MAG_00274rho,TARA_AON_82_MAG_00274rhotaxogroup_middle,TARA_AON_82_MAG_002748ecc1508ec873f12aa2950550a08db1a78806bca,34,-0.0214528852219955,0.00648493609972267,-0.0125051962065822,0.00363686625382996,132,8ecc1508ec873f12aa2950550a08db1a78806bcaTARA_AON_82_MAG_00274,,Unknown,
10Aureococcustaxogroup_middle,8ecc1508ec873f12aa2950550a08db1a78806bca,TARA_IOS_50_MAG_00124,0.138210206753379,10,Aureococcus,taxogroup_middle,rho,Pelagomonadales,TARA_IOS_50_MAG_00124rho,TARA_IOS_50_MAG_00124rhotaxogroup_middle,TARA_IOS_50_MAG_001248ecc1508ec873f12aa2950550a08db1a78806bca,41,-0.0214528852219955,0.00648493609972267,-0.0125051962065822,0.00363686625382996,132,8ecc1508ec873f12aa2950550a08db1a78806bcaTARA_IOS_50_MAG_00124,,Unknown,
10Aureococcustaxogroup_middle,c6eaf8062e1790baec30d73f9694a6da4ead21cd,TARA_IOS_50_MAG_00127,0.119106986867654,10,Aureococcus,taxogroup_middle,rho,Pelagomonadales,TARA_IOS_50_MAG_00127rho,TARA_IOS_50_MAG_00127rhotaxogroup_middle,TARA_IOS_50_MAG_00127c6eaf8062e1790baec30d73f9694a6da4ead21cd,32,-0.0214528852219955,0.00648493609972267,-0.0125051962065822,0.00363686625382996,132,c6eaf8062e1790baec30d73f9694a6da4ead21cdTARA_IOS_50_MAG_00127,,Unknown,
10Aureococcustaxogroup_middle,8ecc1508ec873f12aa2950550a08db1a78806bca,TARA_PON_109_MAG_00221,0.138607070932721,10,Aureococcus,taxogroup_middle,rho,Pelagomonadales,TARA_PON_109_MAG_00221rho,TARA_PON_109_MAG_00221rhotaxogroup_middle,TARA_PON_109_MAG_002218ecc1508ec873f12aa2950550a08db1a78806bca,32,-0.0214528852219955,0.00648493609972267,-0.0125051962065822,0.00363686625382996,132,8ecc1508ec873f12aa2950550a08db1a78806bcaTARA_PON_109_MAG_00221,,Unknown,
10Aureococcustaxogroup_middle,c6eaf8062e1790baec30d73f9694a6da4ead21cd,TARA_AOS_82_MAG_00129,0.122666217577559,10,Aureococcus,taxogroup_middle,rho,Pelagomonadales,TARA_AOS_82_MAG_00129rho,TARA_AOS_82_MAG_00129rhotaxogroup_middle,TARA_AOS_82_MAG_00129c6eaf8062e1790baec30d73f9694a6da4ead21cd,32,-0.0214528852219955,0.00648493609972267,-0.0125051962065822,0.00363686625382996,132,c6eaf8062e1790baec30d73f9694a6da4ead21cdTARA_AOS_82_MAG_00129,,Unknown,
10Aureococcustaxogroup_middle,a1beeeac1e4169147f65ad6324088594fce31d01,TARA_PSW_86_MAG_00257,0.0467787173038565,10,Aureococcus,taxogroup_middle,rho,Pelagomonadales,TARA_PSW_86_MAG_00257rho,TARA_PSW_86_MAG_00257rhotaxogroup_middle,TARA_PSW_86_MAG_00257a1beeeac1e4169147f65ad6324088594fce31d01,23,-0.0214528852219955,0.00648493609972267,-0.0125051962065822,0.00363686625382996,132,a1beeeac1e4169147f65ad6324088594fce31d01TARA_PSW_86_MAG_00257,,Unknown,
10Cafeteriataxogroup_middle,86d88de67577cb3a9839f43296900aaa15fd4a9c,TARA_ION_45_MAG_00147,0.0117797137034491,10,Cafeteria,taxogroup_middle,rho,core-bicosoecids,TARA_ION_45_MAG_00147rho,TARA_ION_45_MAG_00147rhotaxogroup_middle,TARA_ION_45_MAG_0014786d88de67577cb3a9839f43296900aaa15fd4a9c,2,-0.0227009622465382,-4.11790442833571e-05,-0.0107997663570922,0.00431517383529565,132,86d88de67577cb3a9839f43296900aaa15fd4a9cTARA_ION_45_MAG_00147,NO.,NO.,*
10Chaetocerosgenus,3d6fbbe3ec3e7886781732d9ab450b8356233e7e,TARA_ARC_108_MAG_00189,0.158070917771306,10,Chaetoceros,genus,rho,g:Chaetoceros,TARA_ARC_108_MAG_00189rho,TARA_ARC_108_MAG_00189rhogenus,TARA_ARC_108_MAG_001893d6fbbe3ec3e7886781732d9ab450b8356233e7e,8,-0.00576617253340039,0.0705657684331539,0.00956388099405473,0.00924339138529728,132,3d6fbbe3ec3e7886781732d9ab450b8356233e7eTARA_ARC_108_MAG_00189,,Unknown,
10Chaetocerosgenus,4a271a85b6ddace88614601f9455aaa73dc8d3b8,TARA_ARC_108_MAG_00116,0.362954450758425,10,Chaetoceros,genus,rho,g:Chaetoceros,TARA_ARC_108_MAG_00116rho,TARA_ARC_108_MAG_00116rhogenus,TARA_ARC_108_MAG_001164a271a85b6ddace88614601f9455aaa73dc8d3b8,26,-0.00576617253340039,0.0705657684331539,0.00956388099405473,0.00924339138529728,132,4a271a85b6ddace88614601f9455aaa73dc8d3b8TARA_ARC_108_MAG_00116,,Unknown,
10Chaetocerosgenus,365380753f78b81f498f601983201c2684829c11,TARA_ARC_108_MAG_00267,0.168951775805492,10,Chaetoceros,genus,rho,g:Chaetoceros,TARA_ARC_108_MAG_00267rho,TARA_ARC_108_MAG_00267rhogenus,TARA_ARC_108_MAG_00267365380753f78b81f498f601983201c2684829c11,11,-0.00576617253340039,0.0705657684331539,0.00956388099405473,0.00924339138529728,132,365380753f78b81f498f601983201c2684829c11TARA_ARC_108_MAG_00267,,Unknown,
