orgtaxlvltop,md5sum,SMAG,rho,tops,organism,taxlevel,metrics,taxogroup,fSMAG,taxlfSMAG,SMAG_md5sum,stcount,Min,Max,Mean,Se,iteration_count,md5sum_SMAG,if.matches,if.matches_no_na,if.matches_text
10Aureococcustaxogroup_middle,1d672d5c8bd1ae61f1110dd89c83296e52ed2c3a,TARA_AON_82_MAG_00274,2.34294446658201,10,Aureococcus,taxogroup_middle,vlr,Pelagomonadales,TARA_AON_82_MAG_00274vlr,TARA_AON_82_MAG_00274vlrtaxogroup_middle,TARA_AON_82_MAG_002741d672d5c8bd1ae61f1110dd89c83296e52ed2c3a,35,0.325140957413142,0.929737018744854,0.686839793884162,0.162319444848448,131,1d672d5c8bd1ae61f1110dd89c83296e52ed2c3aTARA_AON_82_MAG_00274,,Unknown,
10Aureococcustaxogroup_middle,1d672d5c8bd1ae61f1110dd89c83296e52ed2c3a,TARA_IOS_50_MAG_00124,2.27131800679199,10,Aureococcus,taxogroup_middle,vlr,Pelagomonadales,TARA_IOS_50_MAG_00124vlr,TARA_IOS_50_MAG_00124vlrtaxogroup_middle,TARA_IOS_50_MAG_001241d672d5c8bd1ae61f1110dd89c83296e52ed2c3a,40,0.325140957413142,0.929737018744854,0.686839793884162,0.162319444848448,131,1d672d5c8bd1ae61f1110dd89c83296e52ed2c3aTARA_IOS_50_MAG_00124,,Unknown,
10Aureococcustaxogroup_middle,1d672d5c8bd1ae61f1110dd89c83296e52ed2c3a,TARA_IOS_50_MAG_00127,2.39634229185086,10,Aureococcus,taxogroup_middle,vlr,Pelagomonadales,TARA_IOS_50_MAG_00127vlr,TARA_IOS_50_MAG_00127vlrtaxogroup_middle,TARA_IOS_50_MAG_001271d672d5c8bd1ae61f1110dd89c83296e52ed2c3a,32,0.325140957413142,0.929737018744854,0.686839793884162,0.162319444848448,131,1d672d5c8bd1ae61f1110dd89c83296e52ed2c3aTARA_IOS_50_MAG_00127,,Unknown,
10Aureococcustaxogroup_middle,1d672d5c8bd1ae61f1110dd89c83296e52ed2c3a,TARA_PON_109_MAG_00221,2.37653477967458,10,Aureococcus,taxogroup_middle,vlr,Pelagomonadales,TARA_PON_109_MAG_00221vlr,TARA_PON_109_MAG_00221vlrtaxogroup_middle,TARA_PON_109_MAG_002211d672d5c8bd1ae61f1110dd89c83296e52ed2c3a,33,0.325140957413142,0.929737018744854,0.686839793884162,0.162319444848448,131,1d672d5c8bd1ae61f1110dd89c83296e52ed2c3aTARA_PON_109_MAG_00221,,Unknown,
10Aureococcustaxogroup_middle,1d672d5c8bd1ae61f1110dd89c83296e52ed2c3a,TARA_AOS_82_MAG_00129,2.40965882687264,10,Aureococcus,taxogroup_middle,vlr,Pelagomonadales,TARA_AOS_82_MAG_00129vlr,TARA_AOS_82_MAG_00129vlrtaxogroup_middle,TARA_AOS_82_MAG_001291d672d5c8bd1ae61f1110dd89c83296e52ed2c3a,32,0.325140957413142,0.929737018744854,0.686839793884162,0.162319444848448,131,1d672d5c8bd1ae61f1110dd89c83296e52ed2c3aTARA_AOS_82_MAG_00129,,Unknown,
10Aureococcustaxogroup_middle,0c1363aada7d27a290b661835464e61cb86d98e3,TARA_PSW_86_MAG_00257,2.3039240978894,10,Aureococcus,taxogroup_middle,vlr,Pelagomonadales,TARA_PSW_86_MAG_00257vlr,TARA_PSW_86_MAG_00257vlrtaxogroup_middle,TARA_PSW_86_MAG_002570c1363aada7d27a290b661835464e61cb86d98e3,15,0.325140957413142,0.929737018744854,0.686839793884162,0.162319444848448,131,0c1363aada7d27a290b661835464e61cb86d98e3TARA_PSW_86_MAG_00257,,Unknown,
10Cafeteriataxogroup_middle,52685d13fb3b36a4453ca9b48cf2d0704d2dcd18,TARA_ION_45_MAG_00147,1.11172003484103,10,Cafeteria,taxogroup_middle,vlr,core-bicosoecids,TARA_ION_45_MAG_00147vlr,TARA_ION_45_MAG_00147vlrtaxogroup_middle,TARA_ION_45_MAG_0014752685d13fb3b36a4453ca9b48cf2d0704d2dcd18,4,0.177329645042724,0.299361132486248,0.223806304103663,0.0232321298614022,131,52685d13fb3b36a4453ca9b48cf2d0704d2dcd18TARA_ION_45_MAG_00147,NO.,NO.,*
10Chaetocerosgenus,4665a3798d00a1938076186b3b4e746c4b8a7f5a,TARA_ARC_108_MAG_00189,4.60990584727251,10,Chaetoceros,genus,vlr,g:Chaetoceros,TARA_ARC_108_MAG_00189vlr,TARA_ARC_108_MAG_00189vlrgenus,TARA_ARC_108_MAG_001894665a3798d00a1938076186b3b4e746c4b8a7f5a,8,0.213811647906094,1.17671634288099,0.547053954364826,0.28371260072148,131,4665a3798d00a1938076186b3b4e746c4b8a7f5aTARA_ARC_108_MAG_00189,,Unknown,
10Chaetocerosgenus,f9b408bdf359621d73e2435dcc99322cbbd57c1d,TARA_ARC_108_MAG_00116,4.49388388818206,10,Chaetoceros,genus,vlr,g:Chaetoceros,TARA_ARC_108_MAG_00116vlr,TARA_ARC_108_MAG_00116vlrgenus,TARA_ARC_108_MAG_00116f9b408bdf359621d73e2435dcc99322cbbd57c1d,7,0.213811647906094,1.17671634288099,0.547053954364826,0.28371260072148,131,f9b408bdf359621d73e2435dcc99322cbbd57c1dTARA_ARC_108_MAG_00116,,Unknown,
10Chaetocerosgenus,fd1e2dd59ba288f336089671c99c5b78d7282ddf,TARA_ARC_108_MAG_00267,4.43042137590254,10,Chaetoceros,genus,vlr,g:Chaetoceros,TARA_ARC_108_MAG_00267vlr,TARA_ARC_108_MAG_00267vlrgenus,TARA_ARC_108_MAG_00267fd1e2dd59ba288f336089671c99c5b78d7282ddf,11,0.213811647906094,1.17671634288099,0.547053954364826,0.28371260072148,131,fd1e2dd59ba288f336089671c99c5b78d7282ddfTARA_ARC_108_MAG_00267,,Unknown,
