organism,SMAG,taxlevel,breakpoints,cor_md5sum1,cor_md5sum2,cor_md5sum3,cor_md5sum4,cor_md5sum5,cor_md5sum6,cor_md5sum7,cor_md5sum8,cor_md5sum9,cor_md5sum10,organism,SMAG,taxlevel,breakpoints,rho_md5sum1,rho_md5sum2,rho_md5sum3,rho_md5sum4,rho_md5sum5,rho_md5sum6,rho_md5sum7,rho_md5sum8,rho_md5sum9,rho_md5sum10
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attheya,TARA_ARC_108_MAG_00239,genus,1 NA 3 NA NA NA,2634cc2da492d273c4c5554abf5d747ef9fb3698,18a7630046e33ef5234a508dff7726a848fb524d,eafa02f025ca1da587b41faa1458b8ecc1afa917,,,,,,,,Attheya,TARA_ARC_108_MAG_00239,genus,NA NA NA NA NA,9efc405f89227c3e0a5f2dbc36942ebae8b6c245,,,,,,,,,
Attheya,TARA_ARC_108_MAG_00239,taxogroup_middle,1 NA 3 NA NA NA NA NA,2634cc2da492d273c4c5554abf5d747ef9fb3698,18a7630046e33ef5234a508dff7726a848fb524d,eafa02f025ca1da587b41faa1458b8ecc1afa917,,,,,,,,Attheya,TARA_ARC_108_MAG_00239,taxogroup_middle,NA NA NA NA NA NA NA,9efc405f89227c3e0a5f2dbc36942ebae8b6c245,,,,,,,,,
Aureococcus,TARA_AON_82_MAG_00274,genus,NA,2634cc2da492d273c4c5554abf5d747ef9fb3698,18a7630046e33ef5234a508dff7726a848fb524d,eafa02f025ca1da587b41faa1458b8ecc1afa917,,,,,,,,Aureococcus,TARA_AON_82_MAG_00274,genus,"",9efc405f89227c3e0a5f2dbc36942ebae8b6c245,,,,,,,,,
Aureococcus,TARA_AON_82_MAG_00274,taxogroup_middle,1 NA 3 NA NA NA,0c1363aada7d27a290b661835464e61cb86d98e3,0968f14d2c73081415995dc74566d9769fe33a75,cd82ce5a6e59e15bcd23298807449eb97e456348,,,,,,,,Aureococcus,TARA_AON_82_MAG_00274,taxogroup_middle,1 2 NA NA NA NA NA,0c1363aada7d27a290b661835464e61cb86d98e3,9fbda6a96c62b77a76455d0632ce1c08531a836d,,,,,,,,
Aureococcus,TARA_AOS_82_MAG_00129,genus,NA,0c1363aada7d27a290b661835464e61cb86d98e3,0968f14d2c73081415995dc74566d9769fe33a75,cd82ce5a6e59e15bcd23298807449eb97e456348,,,,,,,,Aureococcus,TARA_AOS_82_MAG_00129,genus,"",0c1363aada7d27a290b661835464e61cb86d98e3,9fbda6a96c62b77a76455d0632ce1c08531a836d,,,,,,,,
Aureococcus,TARA_AOS_82_MAG_00129,taxogroup_middle,1 NA NA NA NA NA,0c1363aada7d27a290b661835464e61cb86d98e3,,,,,,,,,,Aureococcus,TARA_AOS_82_MAG_00129,taxogroup_middle,1 NA NA NA NA NA,0c1363aada7d27a290b661835464e61cb86d98e3,,,,,,,,,
Aureococcus,TARA_IOS_50_MAG_00124,genus,1,0968f14d2c73081415995dc74566d9769fe33a75,,,,,,,,,,Aureococcus,TARA_IOS_50_MAG_00124,genus,"",0c1363aada7d27a290b661835464e61cb86d98e3,,,,,,,,,
Aureococcus,TARA_IOS_50_MAG_00124,taxogroup_middle,NA NA NA 4 NA NA NA NA,0968f14d2c73081415995dc74566d9769fe33a75,0c1363aada7d27a290b661835464e61cb86d98e3,cd82ce5a6e59e15bcd23298807449eb97e456348,1d672d5c8bd1ae61f1110dd89c83296e52ed2c3a,,,,,,,Aureococcus,TARA_IOS_50_MAG_00124,taxogroup_middle,NA NA NA NA NA NA NA NA,0c1363aada7d27a290b661835464e61cb86d98e3,,,,,,,,,
Aureococcus,TARA_IOS_50_MAG_00127,genus,NA,0968f14d2c73081415995dc74566d9769fe33a75,0c1363aada7d27a290b661835464e61cb86d98e3,cd82ce5a6e59e15bcd23298807449eb97e456348,1d672d5c8bd1ae61f1110dd89c83296e52ed2c3a,,,,,,,Aureococcus,TARA_IOS_50_MAG_00127,genus,"",0c1363aada7d27a290b661835464e61cb86d98e3,,,,,,,,,
Aureococcus,TARA_IOS_50_MAG_00127,taxogroup_middle,1 NA NA NA NA NA,0c1363aada7d27a290b661835464e61cb86d98e3,,,,,,,,,,Aureococcus,TARA_IOS_50_MAG_00127,taxogroup_middle,1 NA NA NA NA NA,0c1363aada7d27a290b661835464e61cb86d98e3,,,,,,,,,
Aureococcus,TARA_PON_109_MAG_00221,genus,NA,0c1363aada7d27a290b661835464e61cb86d98e3,,,,,,,,,,Aureococcus,TARA_PON_109_MAG_00221,genus,"",0c1363aada7d27a290b661835464e61cb86d98e3,,,,,,,,,
